"Time"	"Temperature"
0	86.4
2	86.3
4	86.3
5	86.3
8	86.3
10	86.3
12	86.3
14	86.3
15	86.3
16	86.3
18	86.3
20	86.3
22	86.3
24	86.3
25	86.3
26	86.3
28	86.3
30	86.3
32	86.3
34	86.3
35	86.3
38	86.3
40	86.3
42	86.3
44	86.3
45	86.3
48	86.4
50	86.4
52	86.4
54	86.5
55	86.5
56	86.5
58	86.5
60	86.5
62	86.5
64	86.6
65	86.6
68	86.7
70	86.7
72	86.8
74	86.8
75	86.8
78	86.9
80	86.9
82	87
84	87.1
85	87.1
86	87.1
88	87.1
90	87.2
92	87.2
94	87.3
95	87.3
96	87.3
98	87.4
100	87.4
102	87.6
104	87.6
105	87.6
108	87.7
110	87.8
112	87.9
114	87.9
115	88
118	88.1
120	88.2
122	88.3
124	88.3
125	88.3
126	88.4
128	88.5
130	88.6
132	88.7
134	88.8
135	88.8
136	88.8
138	88.9
140	89
142	89.1
144	89.2
145	89.2
148	89.3
150	89.4
152	89.6
154	89.6
155	89.7
156	89.7
158	89.9
160	90
162	90.1
164	90.2
165	90.3
166	90.3
168	90.4
170	90.5
172	90.6
174	90.7
175	90.8
178	91
180	91.1
182	91.1
184	91.3
185	91.3
188	91.5
190	91.6
192	91.7
194	91.9
195	91.9
196	92
198	92.1
200	92.2
202	92.3
204	92.5
205	92.5
206	92.6
208	92.7
210	92.8
212	92.9
214	93.1
215	93.2
218	93.4
220	93.5
222	93.6
224	93.7
225	93.8
226	93.9
228	94
230	94.1
232	94.2
234	94.4
235	94.4
236	94.5
238	94.7
240	94.8
242	94.9
244	95.1
245	95.1
248	95.3
250	95.5
252	95.6
254	95.8
255	95.8
258	96
260	96.2
262	96.3
264	96.5
265	96.5
266	96.6
268	96.7
270	96.9
272	97
274	97.2
275	97.2
276	97.3
278	97.4
280	97.6
282	97.8
284	97.9
285	98
288	98.2
290	98.3
292	98.5
294	98.6
295	98.7
298	98.9
300	99.1
302	99.2
304	99.4
305	99.4
306	99.5
308	99.6
310	99.8
312	99.9
314	100.1
315	100.2
318	100.4
320	100.6
322	100.7
324	100.8
325	100.9
328	101.1
330	101.3
332	101.5
334	101.6
335	101.7
336	101.8
338	101.9
340	102
342	102.2
344	102.4
345	102.4
346	102.5
348	102.7
350	102.8
352	103
354	103.1
355	103.2
358	103.4
360	103.6
362	103.7
364	103.9
365	104
368	104.2
370	104.4
372	104.5
374	104.7
375	104.7
376	104.8
378	105
380	105.1
382	105.3
384	105.4
385	105.5
388	105.8
390	105.9
392	106
394	106.2
395	106.3
398	106.5
400	106.6
402	106.8
404	107
405	107.1
406	107.1
408	107.3
410	107.5
412	107.6
414	107.8
415	107.8
416	107.9
418	108.1
420	108.2
422	108.3
424	108.5
425	108.6
428	108.8
430	109
432	109.1
434	109.3
435	109.4
438	109.6
440	109.7
442	109.9
444	110
445	110.1
446	110.2
448	110.3
450	110.5
452	110.6
454	110.8
455	110.9
458	111.1
460	111.2
462	111.4
464	111.6
465	111.6
468	111.9
470	112
472	112.1
474	112.3
475	112.4
476	112.5
478	112.6
480	112.8
482	112.9
484	113
485	113.1
486	113.2
488	113.3
490	113.5
492	113.7
494	113.8
495	113.9
498	114.1
500	114.2
502	114.4
504	114.5
505	114.6
508	114.8
510	115
512	115.1
514	115.3
515	115.3
516	115.4
518	115.5
520	115.7
522	115.8
524	116
525	116.1
526	116.1
528	116.3
530	116.4
532	116.6
534	116.7
535	116.8
538	117
540	117.1
542	117.3
544	117.4
545	117.5
546	117.6
548	117.7
550	117.9
552	118
554	118.1
555	118.2
556	118.3
558	118.4
560	118.6
562	118.7
564	118.8
565	118.9
568	119.1
570	119.3
572	119.4
574	119.6
575	119.6
578	119.8
580	120
582	120.1
584	120.2
585	120.4
586	120.4
588	120.5
590	120.7
592	120.8
594	121
595	121
596	121.1
598	121.3
600	121.4
602	121.5
604	121.7
605	121.7
608	121.9
610	122.1
612	122.2
614	122.3
615	122.4
616	122.5
618	122.6
620	122.8
622	122.9
624	123
625	123.1
626	123.1
628	123.3
630	123.4
632	123.6
634	123.7
635	123.7
638	124
640	124.1
642	124.2
644	124.4
645	124.4
648	124.7
650	124.8
652	124.9
654	125
655	125.1
656	125.2
658	125.3
660	125.5
662	125.6
664	125.7
665	125.8
666	125.8
668	126
670	126.1
672	126.2
674	126.3
675	126.4
678	126.6
680	126.7
682	126.9
684	127
685	127
688	127.2
690	127.4
692	127.5
694	127.6
695	127.7
696	127.8
698	127.9
700	128
702	128.2
704	128.3
705	128.3
708	128.5
710	128.7
712	128.8
714	128.9
715	129
718	129.2
720	129.3
722	129.4
724	129.5
725	129.6
726	129.7
728	129.8
730	129.9
732	130
734	130.1
735	130.2
736	130.3
738	130.4
740	130.5
742	130.6
744	130.8
745	130.8
748	131
750	131.1
752	131.2
754	131.4
755	131.5
758	131.6
760	131.7
762	131.8
764	132
765	132
766	132.1
768	132.2
770	132.3
772	132.4
774	132.5
775	132.6
778	132.8
780	132.9
782	133
784	133.2
785	133.2
788	133.4
790	133.5
792	133.6
794	133.7
795	133.8
796	133.9
798	134
800	134.1
802	134.2
804	134.3
805	134.4
806	134.4
808	134.5
810	134.6
812	134.8
814	134.9
815	134.9
818	135.1
820	135.3
822	135.3
824	135.5
825	135.5
828	135.7
830	135.8
832	135.9
834	136
835	136.1
836	136.1
838	136.2
840	136.4
842	136.5
844	136.6
845	136.6
846	136.7
848	136.8
850	136.9
852	137.1
854	137.1
855	137.2
858	137.4
860	137.5
862	137.6
864	137.7
865	137.7
866	137.8
868	137.9
870	138
872	138.1
874	138.3
875	138.3
876	138.4
878	138.5
880	138.6
882	138.7
884	138.8
885	138.8
888	139
890	139.1
892	139.2
894	139.3
895	139.4
898	139.6
900	139.7
902	139.8
904	139.9
905	139.9
906	140
908	140.1
910	140.2
912	140.3
914	140.4
915	140.5
916	140.5
918	140.6
920	140.7
922	140.8
924	140.9
925	141
928	141.1
930	141.2
932	141.3
934	141.5
935	141.5
936	141.5
938	141.6
940	141.7
942	141.8
944	142
945	142
946	142.1
948	142.2
950	142.2
952	142.4
954	142.5
955	142.6
958	142.7
960	142.8
962	142.9
964	143
965	143
968	143.2
970	143.3
972	143.4
974	143.5
975	143.6
976	143.6
978	143.7
980	143.7
982	143.9
984	143.9
985	144
986	144.1
988	144.2
990	144.3
992	144.4
994	144.5
995	144.5
998	144.7
1000	144.8
1002	144.9
1004	145
1005	145
1008	145.2
1010	145.2
1012	145.3
1014	145.5
1015	145.5
1016	145.6
1018	145.6
1020	145.8
1022	145.9
1024	146
1025	146
1028	146.1
1030	146.2
1032	146.3
1034	146.4
1035	146.5
1038	146.6
1040	146.7
1042	146.8
1044	146.9
1045	147
1046	147
1048	147.1
1050	147.2
1052	147.3
1054	147.4
1055	147.4
1056	147.5
1058	147.6
1060	147.7
1062	147.7
1064	147.9
1065	147.9
1068	148
1070	148.1
1072	148.2
1074	148.3
1075	148.4
1078	148.5
1080	148.6
1082	148.7
1084	148.8
1085	148.8
1086	148.9
1088	149
1090	149
1092	149.1
1094	149.3
1095	149.3
1098	149.4
1100	149.5
1102	149.6
1104	149.7
1105	149.8
1108	149.9
1110	150
1112	150.1
1114	150.1
1115	150.2
1116	150.3
1118	150.4
1120	150.4
1122	150.5
1124	150.6
1125	150.7
1126	150.7
1128	150.8
1130	150.9
1132	150.9
1134	151.1
1135	151.1
1138	151.3
1140	151.4
1142	151.5
1144	151.6
1145	151.6
1148	151.8
1150	151.8
1152	151.9
1154	152
1155	152.1
1156	152.1
1158	152.2
1160	152.2
1162	152.3
1164	152.4
1165	152.5
1166	152.5
1168	152.6
1170	152.7
1172	152.8
1174	152.9
1175	152.9
1178	153.1
1180	153.2
1182	153.2
1184	153.3
1185	153.4
1186	153.4
1188	153.5
1190	153.6
1192	153.7
1194	153.8
1195	153.8
1196	153.9
1198	154
1200	154.1
1202	154.1
1204	154.2
1205	154.3
1208	154.4
1210	154.5
1212	154.5
1214	154.7
1215	154.7
1218	154.8
1220	154.9
1222	155
1224	155
1225	155.1
1226	155.2
1228	155.2
1230	155.3
1232	155.4
1234	155.5
1235	155.6
1236	155.6
1238	155.7
1240	155.7
1242	155.8
1244	155.9
1245	155.9
1248	156.1
1250	156.2
1252	156.2
1254	156.3
1255	156.3
1256	156.4
1258	156.5
1260	156.6
1262	156.7
1264	156.8
1265	156.8
1266	156.8
1268	156.9
1270	157
1272	157.1
1274	157.2
1275	157.2
1278	157.3
1280	157.4
1282	157.5
1284	157.6
1285	157.6
1288	157.7
1290	157.8
1292	157.9
1294	158
1295	158
1296	158.1
1298	158.2
1300	158.2
1302	158.3
1304	158.4
1305	158.4
1306	158.4
1308	158.5
1310	158.6
1312	158.7
1314	158.8
1315	158.8
1318	159
1320	159.1
1322	159.1
1324	159.2
1325	159.3
1328	159.4
1330	159.4
1332	159.5
1334	159.6
1335	159.6
1336	159.7
1338	159.8
1340	159.9
1342	159.9
1344	160
1345	160
1348	160.2
1350	160.3
1352	160.4
1354	160.4
1355	160.5
1358	160.6
1360	160.7
1362	160.8
1364	160.8
1365	160.9
1366	160.9
1368	161
1370	161
1372	161.1
1374	161.2
1375	161.3
1376	161.3
1378	161.4
1380	161.4
1382	161.5
1384	161.6
1385	161.6
1388	161.7
1390	161.9
1392	161.9
1394	162
1395	162.1
1398	162.1
1400	162.2
1402	162.3
1404	162.3
1405	162.5
1406	162.5
1408	162.5
1410	162.5
1412	162.7
1414	162.7
1415	162.8
1418	162.9
1420	163
1422	163
1424	163.1
1425	163.2
1428	163.3
1430	163.3
1432	163.4
1434	163.5
1435	163.6
1436	163.6
1438	163.6
1440	163.7
1442	163.8
1444	163.9
1445	163.9
1446	164
1448	164
1450	164.1
1452	164.2
1454	164.2
1455	164.3
1458	164.4
1460	164.5
1462	164.5
1464	164.6
1465	164.7
1468	164.8
1470	164.9
1472	164.9
1474	165
1475	165.1
1476	165.2
1478	165.2
1480	165.3
1482	165.3
1484	165.4
1485	165.5
1486	165.5
1488	165.6
1490	165.7
1492	165.7
1494	165.8
1495	165.8
1498	165.9
1500	166
1502	166.1
1504	166.2
1505	166.2
1506	166.3
1508	166.3
1510	166.4
1512	166.4
1514	166.5
1515	166.5
1516	166.6
1518	166.6
1520	166.8
1522	166.8
1524	166.9
1525	166.9
1528	167
1530	167.1
1532	167.1
1534	167.2
1535	167.2
1538	167.4
1540	167.4
1542	167.6
1544	167.6
1545	167.6
1546	167.7
1548	167.7
1550	167.8
1552	167.9
1554	168
1555	168
1556	168
1558	168.1
1560	168.2
1562	168.3
1564	168.3
1565	168.4
1568	168.5
1570	168.5
1572	168.6
1574	168.7
1575	168.7
1576	168.7
1578	168.8
1580	168.9
1582	169
1584	169
1585	169.1
1586	169.1
1588	169.2
1590	169.2
1592	169.4
1594	169.4
1595	169.5
1598	169.6
1600	169.6
1602	169.7
1604	169.8
1605	169.8
1608	169.9
1610	170
1612	170.1
1614	170.1
1615	170.2
1616	170.2
1618	170.3
1620	170.3
1622	170.4
1624	170.5
1625	170.5
1626	170.5
1628	170.6
1630	170.7
1632	170.7
1634	170.9
1635	170.9
1638	171
1640	171.1
1642	171.1
1644	171.2
1645	171.3
1648	171.3
1650	171.4
1652	171.4
1654	171.5
1655	171.6
1656	171.6
1658	171.7
1660	171.7
1662	171.8
1664	171.8
1665	171.9
1668	172
1670	172.1
1672	172.2
1674	172.2
1675	172.3
1678	172.4
1680	172.4
1682	172.5
1684	172.6
1685	172.6
1686	172.7
1688	172.7
1690	172.8
1692	172.9
1694	172.9
1695	172.9
1696	173
1698	173
1700	173.1
1702	173.2
1704	173.3
1705	173.3
1708	173.4
1710	173.5
1712	173.5
1714	173.6
1715	173.6
1718	173.7
1720	173.8
1722	173.9
1724	173.9
1725	174
1726	174
1728	174.1
1730	174.2
1732	174.2
1734	174.3
1735	174.3
1738	174.4
1740	174.5
1742	174.5
1744	174.6
1745	174.7
1748	174.7
1750	174.8
1752	174.9
1754	175
1755	175
1756	175.1
1758	175.1
1760	175.2
1762	175.2
1764	175.3
1765	175.3
1766	175.3
1768	175.4
1770	175.5
1772	175.6
1774	175.6
1775	175.7
1778	175.8
1780	175.8
1782	175.9
1784	175.9
1785	176
1788	176.1
1790	176.1
1792	176.2
1794	176.3
1795	176.4
1796	176.4
1798	176.5
1800	176.5
1802	176.6
1804	176.7
1805	176.7
1808	176.8
1810	176.8
1812	176.9
1814	177
1815	177.1
1818	177.1
1820	177.2
1822	177.2
1824	177.3
1825	177.3
1826	177.4
1828	177.4
1830	177.5
1832	177.5
1834	177.6
1835	177.7
1836	177.7
1838	177.8
1840	177.8
1842	177.9
1844	178
1845	178
1848	178
1850	178.2
1852	178.2
1854	178.3
1855	178.3
1858	178.4
1860	178.5
1862	178.5
1864	178.6
1865	178.6
1866	178.7
1868	178.7
1870	178.8
1872	178.9
1874	178.9
1875	179
1876	179
1878	179
1880	179.1
1882	179.2
1884	179.2
1885	179.3
1888	179.4
1890	179.4
1892	179.5
1894	179.6
1895	179.6
1896	179.6
1898	179.7
1900	179.8
1902	179.9
1904	179.9
1905	179.9
1906	179.9
1908	180
1910	180.1
1912	180.1
1914	180.2
